sciname,Genus,Species,Database,Nansen,CommName,FamName,Nansen_2013_SpGrps,FamilyGroup,Order,OrderGroup,aveK,L_inf_cm,logTLinf,avephi1,Temperature,tmax,VB_t0_years,L_maturity2,VB_k,Weight_a_cm,Weight_b_cm,unit,L_maturity,tm,SL_TL_a,SL_TL_b,FL_TL_a,FL_TL_b,trophic_level,primary_diet_fishbase,M_ThenG,M_Then,M_Pauly,M_Hoenig_Fish,M_Hoenig_Joint,M_AC,Resilience,SpecCode,Vulnerability,PriceCateg
Epinephelus fasciatus,Epinephelus,fasciatus,FB,N,Blacktip grouper,Serranidae,Groupers,Sea basses: groupers and fairy basslets,Perciformes,Perciformes perch-likes,0.1215,81.7,3.824444113,2.714456744,25.75,NA,-1.4325,NA,0.077626969,0.017211862,2.948101046,cm/tl/g,19.16666667,NA,0,1.198810259,0,1,3.72,NA,0.149,NA,0.244,NA,NA,NA,Low,5348,53.43,high
Epinephelus fuscoguttatus,Epinephelus,fuscoguttatus,FB,N,Brown-marbled grouper,Serranidae,Groupers,Sea basses: groupers and fairy basslets,Perciformes,Perciformes perch-likes,0.186666667,86.96666667,3.878705649,3.139267834,29,30,NA,NA,0.182205795,0.013909898,3.040935248,cm/tl/g,50,NA,0,1.233376852,0,1,NA,NA,0.272,0.217,0.443,0.139,0.15,0.078,Medium,4460,57.62,very high
Epinephelus heniochus,Epinephelus,heniochus,FB,N,Bridled grouper,Serranidae,Groupers,Sea basses: groupers and fairy basslets,Perciformes,Perciformes perch-likes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cm/tl/g,NA,NA,0,1.243572703,0,1,NA,NA,NA,NA,NA,NA,NA,NA,Medium,7347,43.92,very high
Epinephelus latifasciatus,Epinephelus,latifasciatus,FB,Y,Striped grouper,Serranidae,Groupers,Sea basses: groupers and fairy basslets,Perciformes,Perciformes perch-likes,0.328,82.1,3.828686314,3.344560158,20,NA,-0.205,NA,0.328,0.00965,3.088,cm/tl/g,86,NA,0,1.230381733,0,1,NA,NA,0.426,NA,0.556,NA,NA,NA,Low,7350,46.5,very high
Epinephelus malabaricus,Epinephelus,malabaricus,FB,Y,Malabar grouper,Serranidae,Groupers,Sea basses: groupers and fairy basslets,Perciformes,Perciformes perch-likes,0.8,125,4.193820026,4.096910013,29,NA,NA,NA,0.8,0.016176675,3.049606583,cm/tl/g,86.66666667,NA,0,1.217647421,0,1,3.8,NA,0.711,NA,1.053,NA,NA,NA,Low,6439,40.44,very high
Epinephelus merra,Epinephelus,merra,FB,N,Honeycomb grouper,Serranidae,Groupers,Sea basses: groupers and fairy basslets,Perciformes,Perciformes perch-likes,0.4375,28.875,2.921043986,2.513845402,26.375,6,NA,NA,0.391562792,0.011533107,3.091775148,cm/tl/g,15,NA,0,1.262706462,0,1,3.934444444,NA,0.685,0.949,0.951,0.705,0.726,0.815,High,4923,28.85,very high
Epinephelus quoyanus,Epinephelus,quoyanus,FB,N,Longfin grouper,Serranidae,Groupers,Sea basses: groupers and fairy basslets,Perciformes,Perciformes perch-likes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cm/tl/g,21.1,NA,0,1.277116959,0,1,4.02,NA,NA,NA,NA,NA,NA,NA,Medium,6475,35.96,very high
Epinephelus radiatus,Epinephelus,radiatus,FB,N,Oblique-banded grouper,Serranidae,Groupers,Sea basses: groupers and fairy basslets,Perciformes,Perciformes perch-likes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cm/tl/g,NA,NA,0,1.278240684,0,1,NA,NA,NA,NA,NA,NA,NA,NA,Low,7360,60.25,very high
Epinephelus rivulatus,Epinephelus,rivulatus,FB,N,Halfmoon grouper,Serranidae,Groupers,Sea basses: groupers and fairy basslets,Perciformes,Perciformes perch-likes,0.49,32.9,3.034391796,2.724587876,24,NA,NA,NA,0.49,0.01846228,2.964166179,cm/tl/g,NA,NA,0,1.226260385,0,1,NA,NA,0.772,NA,1.016,NA,NA,NA,High,6001,27.48,very high
Epinephelus sexfasciatus,Epinephelus,sexfasciatus,FB,N,Sixbar grouper,Serranidae,Groupers,Sea basses: groupers and fairy basslets,Perciformes,Perciformes perch-likes,0.51,36.7,3.129332129,2.836902305,27.7,NA,NA,NA,0.51,0.0265,2.877,cm/tl/g,13,NA,0,1.26898,0,1,3.8,NA,0.767,NA,1.081,NA,NA,NA,Medium,4825,26.41,very high
Epinephelus tauvina,Epinephelus,tauvina,FB,N,Greasy grouper,Serranidae,Groupers,Sea basses: groupers and fairy basslets,Perciformes,Perciformes perch-likes,0.1326,109.02,4.075012355,3.173938543,24.68,NA,-0.77825,61.1,0.125581651,0.018475743,2.980344937,cm/tl/g,61.05,NA,0,1.258310618,0,1.014839889,NA,NA,0.193,NA,0.302,NA,NA,NA,Low,4461,59.27,very high
Epinephelus undulosus,Epinephelus,undulosus,FB,N,Wavy-lined grouper,Serranidae,Groupers,Sea basses: groupers and fairy basslets,Perciformes,Perciformes perch-likes,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00882,2.764,cm/tl/g,41,NA,0,1.235987567,0,1.021064139,NA,NA,NA,NA,NA,NA,NA,NA,Very low,6476,69.14,very high
Sphyraena barracuda,Sphyraena,barracuda,FB,N,Great barracuda,Sphyraenidae,Sphyraenidae,Barracudas,Perciformes,Perciformes perch-likes,0.123666667,161.7471767,4.417673417,3.490675044,23.66666667,NA,NA,74,0.118304599,0.010445494,2.958149632,cm/tl/g,63,NA,NA,NA,NA,NA,4.454666667,NA,0.162,NA,0.255,NA,NA,NA,Low,1235,78.57,medium
Sphyraena flavicauda,Sphyraena,flavicauda,FB,Y,Yellowtail barracuda,Sphyraenidae,Sphyraenidae,Barracudas,Perciformes,Perciformes perch-likes,0.296,44.6,3.298669717,2.769961428,NA,NA,-0.824,NA,0.296,0.006007146,2.96992643,cm/tl/g,NA,NA,NA,NA,NA,NA,NA,NA,0.484,NA,NA,NA,NA,NA,Medium,7937,36.4,medium
Sphyraena forsteri,Sphyraena,forsteri,FB,N,Bigeye barracuda,Sphyraenidae,Sphyraenidae,Barracudas,Perciformes,Perciformes perch-likes,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005473335,3.026520633,cm/tl/g,NA,NA,NA,NA,NA,NA,4.445,NA,NA,NA,NA,NA,NA,NA,Medium,5734,43.75,medium
Sphyraena jello,Sphyraena,jello,FB,N,Pickhandle barracuda,Sphyraenidae,Sphyraenidae,Barracudas,Perciformes,Perciformes perch-likes,0.81,102.75228,4.023582935,3.419883592,29,NA,0.009,NA,0.249058092,0.010257865,2.860135584,cm/tl/g,NA,NA,0,1.17602,0,1.11152,4.5,NA,0.324,NA,0.519,NA,NA,NA,Low,4827,75.07,medium
Sphyraena obtusata,Sphyraena,obtusata,FB,N,Obtuse barracuda,Sphyraenidae,Sphyraenidae,Barracudas,Perciformes,Perciformes perch-likes,0.688,40.09007,3.206073629,3.018385543,24.14,NA,NA,NA,0.649100455,0.010086986,2.81225528,cm/tl/g,NA,NA,0,1.12066,0,1.07168,4.493333333,NA,0.889,NA,1.159,NA,NA,NA,High,4493,25.15,medium
Sphyraena putnamae,Sphyraena,putnamae,FB,Y,Sawtooth barracuda,Sphyraenidae,Sphyraenidae,Barracudas,Perciformes,Perciformes perch-likes,0.373,79.67701,3.802666056,3.374374888,24,NA,NA,NA,0.373,0.005941919,2.916812142,cm/tl/g,NA,NA,0,1.1514,0,1.10394,4.4925,NA,0.473,NA,0.664,NA,NA,NA,Medium,7938,36,medium
Pampus argenteus,Pampus,argenteus,FB,N,Silver pomfret,Stromateidae,Stromateidae,Butterfishes,Perciformes,Perciformes perch-likes,0.5140625,33.70047375,3.055272012,2.701463645,24,4,-1.0315,NA,0.442783708,0.016638851,2.858982252,cm/tl/g,18,NA,0,1.40749,0,1.26526,3.348108108,NA,0.712,1.376,0.945,1.062,1.082,1.383,Medium,491,32.65,high
Pampus chinensis,Pampus,chinensis,FB,N,Chinese silver pomfret,Stromateidae,Stromateidae,Butterfishes,Perciformes,Perciformes perch-likes,0.67,46.70612,3.338747582,3.164822384,28,NA,NA,NA,0.67,0.01699,2.983,cm/tl/g,NA,NA,0,1.36387,0,1.22588,NA,NA,0.865,NA,1.215,NA,NA,NA,High,8187,23.69,high
Saurida brasiliensis,Saurida,brasiliensis,FB,Y,Brazilian lizardfish,Synodontidae,Synodontidae,Lizardfishes,Aulopiformes,Aulopiformes grinners,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005882686,2.961486113,cm/tl/g,NA,NA,0,1.16771,0,1.0943,NA,NA,NA,NA,NA,NA,NA,NA,High,2716,17.79,medium
Saurida elongata,Saurida,elongata,FB,N,Slender lizardfish,Synodontidae,Synodontidae,Lizardfishes,Aulopiformes,Aulopiformes grinners,0.886222222,46.21111111,3.329492822,3.12834774,27.33333333,7,-0.67,NA,0.629295923,0.01285,2.908,cm/tl/g,NA,NA,0,1.150655465,0,1.074261514,NA,NA,0.829,0.824,1.156,0.603,0.624,0.436,High,4764,23,medium
Saurida micropectoralis,Saurida,micropectoralis,FB,N,Shortfin lizardfish,Synodontidae,Synodontidae,Lizardfishes,Aulopiformes,Aulopiformes grinners,0.6405,44.373115,3.294239835,3.066809404,24,NA,NA,NA,0.592337966,0.004675244,3.0914487,cm/tl/g,NA,NA,0,1.12642,0,1.07181,4.335714286,NA,0.804,NA,1.058,NA,NA,NA,High,4467,20.24,medium
Saurida tumbil,Saurida,tumbil,FB,N,Greater lizardfish,Synodontidae,Synodontidae,Lizardfishes,Aulopiformes,Aulopiformes grinners,0.431518519,61.1837037,3.573271526,3.023921887,26.3,6.6,-1.2645,31,0.282260665,0.003367364,3.234162365,cm/tl/g,26.5,NA,0,1.12891,0,1.08956551,4.408888889,NA,0.421,0.87,0.622,0.64,0.661,0.822,Medium,6479,35.85,very high
Saurida undosquamis,Saurida,undosquamis,FB,N,Brushtooth lizardfish,Synodontidae,Synodontidae,Lizardfishes,Aulopiformes,Aulopiformes grinners,0.732585366,42.04822927,3.247495423,2.965604879,26.83225806,6.6,-0.290625,18.86666667,0.522527866,0.005998622,3.070003661,cm/tl/g,20.15,1.45,NA,NA,NA,NA,4.484761905,NA,0.747,0.87,1.042,0.64,0.661,0.579,Medium,1055,31.36,very high
Synodus binotatus,Synodus,binotatus,FB,Y,Two-spot lizard fish,Synodontidae,Synodontidae,Lizardfishes,Aulopiformes,Aulopiformes grinners,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008146011,3,cm/tl/g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,7292,12.93,medium
Synodus myops,Synodus,myops,FB,N,Snakefish,Synodontidae,Synodontidae,Lizardfishes,Aulopiformes,Aulopiformes grinners,0.371,49.11666667,3.382457771,2.635220202,26.235,6,-1.681,16.5,0.178962662,0.002543818,3.432012398,cm/tl/g,16.5,2,NA,NA,NA,NA,4.39,NA,0.324,0.949,0.49,0.705,0.726,1.066,Medium,2724,45.68,medium
Synodus saurus,Synodus,saurus,FB,Y,Atlantic lizardfish,Synodontidae,Synodontidae,Lizardfishes,Aulopiformes,Aulopiformes grinners,0.161,36.32,3.12029168,2.316235773,NA,7.5,-2.116,NA,0.157016067,0.006469691,3.053655898,cm/tl/g,NA,NA,NA,NA,NA,NA,4.49,NA,0.326,0.774,NA,0.563,0.583,0.835,Low,1771,47.08,medium
Lepturacanthus savala,Lepturacanthus,savala,FB,N,Savalai hairtail,Trichiuridae,Hairtails,Cutlassfishes,Perciformes,Perciformes perch-likes,0.65,88.15,3.890444633,3.675556436,28,NA,NA,38,0.609693833,0.000856232,3.060791836,cm/tl/g,38,NA,NA,NA,NA,NA,NA,NA,0.654,NA,0.957,NA,NA,NA,High,8314,36.15,medium
